"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","AÑO","MES","DIA","HORA","MINUTO"
"104","2","32","17","61,81","0","5865","2018","5","9","11","1"
"105","5","32","39","58,28","0","5829","2018","5","9","11","2"
"106","2","32","17","61,81","0","5865","2018","5","9","11","2"
"107","5","32","36","58,6","0","5835","2018","5","9","11","3"
"108","2","32","17","61,81","0","5870","2018","5","9","11","3"
"109","5","32","38","59,08","0","5829","2018","5","9","11","4"
"110","2","32","17","61,81","0","5865","2018","5","9","11","4"
"111","5","32","38","59,08","0","5829","2018","5","9","11","5"
"112","2","32","17","61,81","0","5865","2018","5","9","11","5"
"113","5","32","36","59,4","0","5829","2018","5","9","11","6"
"114","2","32","17","61,65","0","5865","2018","5","9","11","6"
"115","5","32","36","59,72","0","5829","2018","5","9","11","7"
"116","2","32","17","61,81","0","5865","2018","5","9","11","7"
"117","5","32","37","60,36","0","5829","2018","5","9","11","8"
"118","2","32","17","61,97","0","5865","2018","5","9","11","8"
"119","5","31","37","60,04","0","5829","2018","5","9","11","9"
"120","2","32","17","61,97","0","5865","2018","5","9","11","9"
"121","5","31","36","60,2","0","5829","2018","5","9","11","10"
"122","2","32","17","61,81","0","5865","2018","5","9","11","10"
"123","5","32","36","60,84","0","5835","2018","5","9","11","11"
"124","2","32","17","61,81","0","5870","2018","5","9","11","11"
"125","5","32","37","60,52","0","5829","2018","5","9","11","12"
"126","2","32","17","61,97","0","5870","2018","5","9","11","12"
"127","5","32","38","60,36","0","5824","2018","5","9","11","13"
"128","2","32","17","61,97","0","5865","2018","5","9","11","13"
"129","5","32","38","60,68","0","5818","2018","5","9","11","14"
"130","2","32","17","61,97","0","5859","2018","5","9","11","14"
"131","5","31","36","60,68","0","5818","2018","5","9","11","15"
"132","2","32","17","61,81","0","5859","2018","5","9","11","15"
"133","5","31","36","61,33","0","5812","2018","5","9","11","16"
"134","2","32","17","61,65","0","5859","2018","5","9","11","16"
"135","5","31","39","61,16","0","5812","2018","5","9","11","17"
"136","2","32","17","61,65","0","5859","2018","5","9","11","17"
"137","5","31","37","61,16","0","5812","2018","5","9","11","18"
"138","2","31","17","61,97","0","5859","2018","5","9","11","18"
"139","5","31","36","61","0","5812","2018","5","9","11","19"
"140","2","31","17","61,97","0","5859","2018","5","9","11","19"
"141","5","31","35","61","0","5812","2018","5","9","11","20"
"142","2","31","17","61,97","0","5859","2018","5","9","11","20"
"143","5","31","35","60,52","0","5812","2018","5","9","11","21"
"144","2","31","17","61,65","0","5859","2018","5","9","11","21"
"145","5","31","36","60,68","0","5812","2018","5","9","11","22"
"146","2","31","17","61,65","0","5859","2018","5","9","11","22"
"147","5","31","36","60,36","0","5818","2018","5","9","11","23"
"148","2","31","17","61,81","0","5859","2018","5","9","11","23"
"149","5","31","36","60,68","0","5812","2018","5","9","11","24"
"150","2","31","17","61,65","0","5859","2018","5","9","11","24"
"151","5","31","36","61","0","5812","2018","5","9","11","25"
"152","2","31","17","61,65","0","5859","2018","5","9","11","25"
"153","5","31","36","61","0","5812","2018","5","9","11","26"
"154","2","31","17","61,65","0","5859","2018","5","9","11","26"
"155","5","31","37","60,84","0","5818","2018","5","9","11","27"
"156","2","31","17","61,81","0","5865","2018","5","9","11","27"
"157","5","30","39","61,16","0","5818","2018","5","9","11","28"
"158","2","31","17","61,65","0","5865","2018","5","9","11","28"
"159","5","30","37","61,65","0","5818","2018","5","9","11","29"
"160","2","31","17","61,81","0","5865","2018","5","9","11","29"
"161","5","30","37","61,49","0","5818","2018","5","9","11","30"
"162","2","31","17","61,97","0","5865","2018","5","9","11","30"
"163","2","31","17","61,65","0","5865","2018","5","9","11","31"
"164","5","30","37","61,65","0","5818","2018","5","9","11","32"
"165","2","31","17","61,65","0","5865","2018","5","9","11","32"
"166","5","30","37","61,97","0","5818","2018","5","9","11","33"
"167","2","31","17","61,81","0","5865","2018","5","9","11","33"
"168","5","30","37","61,97","0","5818","2018","5","9","11","34"
"169","2","31","17","61,81","0","5865","2018","5","9","11","34"
"170","5","30","37","62,61","0","5818","2018","5","9","11","35"
"171","2","31","17","61,81","0","5865","2018","5","9","11","35"
