TIME,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,NIVEL UV,TEMPERATURA
2018-05-02 23:56:00,100.0,34,5049,1,34
2018-05-03 00:07:00,72.72,32,5055,1,34
2018-05-03 00:40:00,76.73,31,68955,1,35
2018-05-03 00:41:00,77.05,31,5061,1,35
2018-05-03 00:42:00,77.05,31,5061,1,35
2018-05-03 00:44:00,77.05,31,5061,1,35
2018-05-03 00:45:00,77.21,31,5061,1,35
2018-05-03 00:46:00,77.54,31,5061,1,35
2018-05-03 00:47:00,77.21,31,5061,1,35
2018-05-03 00:48:00,77.21,31,5061,1,35
2018-05-03 00:49:00,77.21,31,5061,1,35
2018-05-03 00:51:00,77.86,31,5061,1,35
2018-05-03 00:52:00,78.18,31,5061,1,35
2018-05-03 00:53:00,77.86,31,5061,1,35
2018-05-03 00:54:00,77.7,31,5061,1,35
2018-05-03 00:55:00,77.7,31,5061,1,35
2018-05-03 00:57:00,78.18,31,5061,0,35
2018-05-03 00:58:00,78.02,31,5061,1,35
2018-05-03 00:59:00,78.34,31,5061,1,35
2018-05-03 01:00:00,78.5,31,5061,1,35
2018-05-03 01:01:00,78.18,31,5061,1,35
2018-05-03 01:02:00,77.38,31,5061,1,35
2018-05-03 01:03:00,76.57,31,5067,1,35
2018-05-03 01:04:00,77.21,31,4932,1,35
2018-05-03 01:05:00,75.77,31,2375,0,35
2018-05-03 01:06:00,74.81,31,5085,0,35
2018-05-03 01:07:00,74.33,33,5090,0,34
2018-05-03 01:09:00,74.17,34,5055,1,34
2018-05-03 01:10:00,73.84,34,5073,0,34
2018-05-03 01:11:00,73.04,34,5067,0,33
2018-05-03 01:12:00,73.04,35,5055,0,33
2018-05-03 01:13:00,73.04,35,5061,0,33
2018-05-03 01:14:00,73.36,35,5067,0,34
2018-05-03 01:15:00,72.88,35,5073,0,34
2018-05-03 01:16:00,71.92,35,5085,0,33
2018-05-03 01:17:00,71.6,36,5085,0,33
2018-05-03 01:18:00,71.28,36,5085,0,33
2018-05-03 01:20:00,70.96,37,5085,0,33
2018-05-03 01:21:00,71.12,38,5085,0,33
2018-05-03 01:22:00,70.63,37,5085,0,33
2018-05-03 01:23:00,70.79,38,5085,0,33
2018-05-03 01:24:00,70.31,38,5085,0,32
2018-05-03 01:25:00,70.31,38,5085,0,33
2018-05-03 01:26:00,70.31,38,5073,0,33
2018-05-03 01:27:00,70.47,39,5073,0,32
2018-05-03 01:28:00,70.15,39,5090,0,32
2018-05-03 01:29:00,69.67,39,5085,0,32
2018-05-03 01:30:00,69.67,40,5090,0,32
2018-05-03 01:32:00,69.99,40,5090,0,32
2018-05-03 01:33:00,69.67,39,5090,0,32
2018-05-03 01:34:00,69.19,40,5090,0,32
2018-05-03 01:35:00,69.35,39,5090,0,33
2018-05-03 01:36:00,69.35,39,5090,0,33
2018-05-03 01:37:00,69.67,39,5090,0,33
2018-05-03 01:38:00,69.67,38,5090,0,33
2018-05-03 01:39:00,69.51,38,5090,0,33
2018-05-03 01:40:00,69.51,39,5090,0,33
2018-05-03 01:41:00,69.99,38,5049,0,33
2018-05-03 01:42:00,69.35,38,5043,0,34
2018-05-03 01:43:00,69.99,38,5049,0,33
2018-05-03 01:45:00,69.99,39,5043,0,32
2018-05-03 01:46:00,69.67,39,5055,0,31
