TIME,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,NIVEL UV,TEMPERATURA
2018-04-27 05:18:00,0.01,44,5777,12,30
2018-04-27 05:28:00,0.01,46,5865,12,29
2018-04-27 05:30:00,0.01,45,5876,12,30
2018-04-27 05:31:00,0.01,45,5870,12,30
2018-04-27 05:37:00,0.01,43,5906,12,31
2018-04-27 05:38:00,0.01,43,5853,12,31
2018-04-27 05:39:00,0.01,43,5677,12,31
2018-04-27 05:46:00,0.01,45,5829,12,29
2018-04-27 05:51:00,0.01,42,0,12,31
2018-05-02 23:25:00,0.01,33,5876,12,33
2018-05-02 23:26:00,0.01,35,5888,12,33
2018-05-02 23:36:00,0.01,32,5882,12,33
2018-05-02 23:37:00,0.01,34,5882,12,33
2018-05-02 23:38:00,0.01,33,5888,12,32
2018-05-02 23:40:00,0.01,34,5794,12,32
2018-05-02 23:41:00,0.01,35,5794,12,32
2018-05-02 23:42:00,0.01,35,5835,12,32
2018-05-02 23:44:00,0.01,35,5753,12,32
2018-05-02 23:45:00,0.01,36,5765,12,32
2018-05-02 23:46:00,0.01,35,5771,12,33
2018-05-02 23:47:00,0.01,35,5765,12,33
2018-05-02 23:48:00,0.01,34,5765,12,33
2018-05-02 23:49:00,0.01,34,5765,12,33
2018-05-02 23:50:00,0.01,34,5765,12,34
2018-05-02 23:51:00,0.01,33,5847,12,34
2018-05-02 23:52:00,0.01,33,5853,12,34
2018-05-02 23:53:00,0.01,32,5829,12,35
2018-05-02 23:54:00,0.01,33,5829,12,34
2018-05-02 23:55:00,0.01,33,5829,12,34
2018-05-02 23:56:00,0.01,32,5824,12,33
2018-05-02 23:57:00,0.01,32,5818,12,33
2018-05-02 23:58:00,0.01,32,5835,12,33
2018-05-02 23:59:00,0.01,32,5812,12,33
2018-05-03 00:00:00,0.01,32,5835,12,33
2018-05-03 00:01:00,0.01,32,5800,12,33
2018-05-03 00:02:00,0.01,32,5812,12,33
2018-05-03 00:03:00,0.01,33,5829,12,32
2018-05-03 00:04:00,0.01,33,5824,12,32
2018-05-03 00:05:00,0.01,34,5829,12,32
2018-05-03 00:06:00,0.01,34,5829,12,32
2018-05-03 00:07:00,0.01,33,5829,12,32
2018-05-03 00:08:00,0.01,34,5829,12,32
2018-05-03 00:09:00,0.01,33,5818,12,32
2018-05-03 00:10:00,0.01,33,5859,12,32
2018-05-03 00:11:00,100.0,33,5824,12,32
2018-05-03 00:12:00,100.0,33,5841,12,33
2018-05-03 00:13:00,100.0,32,5818,12,33
2018-05-03 00:14:00,100.0,33,5829,12,33
2018-05-03 00:15:00,100.0,32,5824,12,33
2018-05-03 00:16:00,100.0,32,5853,12,33
2018-05-03 00:17:00,100.0,32,5876,12,33
2018-05-03 00:18:00,100.0,32,5876,12,33
2018-05-03 00:20:00,0.0,0,0,0,0
2018-05-03 00:21:00,100.0,32,5882,12,34
2018-05-03 00:22:00,100.0,32,5876,12,34
2018-05-03 00:23:00,100.0,32,5882,12,34
2018-05-03 00:24:00,100.0,32,5876,12,34
2018-05-03 00:25:00,100.0,32,5882,12,34
2018-05-03 00:27:00,0.0,0,0,0,0
2018-05-03 00:28:00,100.0,32,5882,12,34
2018-05-03 00:29:00,100.0,32,5876,12,34
2018-05-03 00:30:00,100.0,32,5876,12,34
2018-05-03 00:31:00,100.0,32,5876,12,34
2018-05-03 00:33:00,0.0,0,0,0,0
2018-05-03 00:34:00,100.0,32,5882,12,34
2018-05-03 00:35:00,100.0,32,5882,12,34
2018-05-03 00:36:00,100.0,32,5882,12,34
2018-05-03 00:37:00,100.0,32,5882,12,34
2018-05-03 00:38:00,100.0,32,5882,12,34
2018-05-03 00:39:00,100.0,31,5876,12,35
2018-05-03 00:40:00,100.0,31,5876,12,35
2018-05-03 00:41:00,100.0,31,5876,12,35
2018-05-03 00:42:00,100.0,31,5876,12,35
2018-05-03 00:43:00,100.0,31,5876,12,35
2018-05-03 00:44:00,100.0,30,5876,12,35
2018-05-03 00:45:00,100.0,31,5876,12,35
2018-05-03 00:46:00,100.0,31,5870,12,35
2018-05-03 00:48:00,0.0,0,0,0,0
2018-05-03 00:51:00,0.0,0,0,0,0
2018-05-03 00:52:00,100.0,31,5876,12,35
2018-05-03 00:54:00,0.0,0,0,0,0
2018-05-03 00:55:00,100.0,30,5870,12,35
2018-05-03 00:56:00,100.0,30,5870,12,35
2018-05-03 00:57:00,100.0,31,5876,12,35
2018-05-03 00:58:00,100.0,30,5876,12,35
2018-05-03 00:59:00,100.0,30,5876,12,35
2018-05-03 01:00:00,100.0,30,5882,12,35
2018-05-03 01:01:00,100.0,30,5876,12,36
2018-05-03 01:02:00,100.0,30,5859,12,36
2018-05-03 01:03:00,100.0,31,5865,12,36
2018-05-03 01:04:00,100.0,31,5882,12,35
2018-05-03 01:05:00,100.0,31,5882,12,35
2018-05-03 01:06:00,100.0,31,5882,12,35
2018-05-03 01:07:00,100.0,31,5882,12,35
2018-05-03 01:08:00,100.0,31,5882,12,35
