TIME,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,NIVEL UV,TEMPERATURA
2018-04-27 05:17:00,0.0,0,0,0,0
2018-04-27 05:30:00,0.01,46,5912,1,28
2018-04-27 06:38:00,0.01,39,5888,1,31
2018-04-27 06:48:00,2.1,43,5870,0,30
2018-04-27 06:56:00,1.62,51,5876,1,30
2018-04-27 06:59:00,1.3,53,5870,0,30
2018-04-27 07:17:00,1.14,58,5859,0,30
2018-04-27 07:21:00,1.3,59,5865,0,30
2018-04-27 07:23:00,1.3,59,5865,0,30
2018-04-27 07:28:00,1.3,60,5870,0,30
2018-04-27 07:33:00,1.3,60,5876,1,30
2018-04-27 07:34:00,1.3,60,5876,1,30
2018-04-27 07:35:00,1.3,60,5876,1,30
2018-04-27 07:38:00,1.3,60,5876,1,30
2018-04-27 07:41:00,1.3,61,5876,0,30
2018-04-27 07:42:00,1.3,61,5870,0,30
2018-04-27 07:44:00,1.3,61,5870,0,30
2018-04-27 07:47:00,1.3,61,5865,0,30
2018-04-27 07:51:00,1.46,61,5876,1,30
2018-04-27 07:53:00,1.46,60,5882,1,31
2018-04-27 07:54:00,1.46,60,5888,1,31
2018-04-27 07:55:00,1.46,60,5888,1,31
2018-04-27 08:00:00,1.46,60,5876,1,31
2018-04-27 08:02:00,1.46,60,5876,1,31
2018-04-27 08:04:00,1.46,61,5876,1,30
2018-04-27 08:08:00,1.46,61,5876,1,30
2018-04-27 08:10:00,1.46,61,5876,1,30
2018-04-27 08:17:00,1.46,62,5870,1,30
2018-04-27 08:19:00,1.46,62,5870,1,30
2018-04-27 09:00:00,1.94,54,5894,1,35
2018-04-27 09:35:00,1.3,62,5876,1,33
2018-04-27 09:38:00,1.46,63,5876,0,33
2018-04-27 09:39:00,1.3,63,5876,0,33
2018-04-27 09:40:00,1.3,63,5876,1,33
2018-04-27 09:42:00,1.3,63,5876,0,33
2018-04-27 09:48:00,1.3,64,5876,1,33
2018-05-02 23:32:00,0.01,45,5853,0,32
2018-05-02 23:33:00,0.17,44,5853,0,32
2018-05-02 23:34:00,0.01,42,5853,1,31
2018-05-02 23:35:00,0.34,41,5853,1,31
2018-05-02 23:37:00,0.17,43,5824,0,31
2018-05-02 23:39:00,0.01,43,5765,0,32
2018-05-02 23:40:00,0.17,43,5818,1,32
2018-05-02 23:41:00,0.17,42,5800,1,32
2018-05-02 23:43:00,0.17,42,5765,0,32
2018-05-02 23:44:00,0.17,44,5747,0,32
2018-05-02 23:50:00,0.01,41,5759,0,33
2018-05-02 23:51:00,0.17,42,5601,0,33
2018-05-02 23:52:00,0.17,41,5501,0,32
2018-05-02 23:48:00,0.17,32,5677,0,34
2018-05-02 23:53:00,0.17,34,5601,0,34
2018-05-02 23:54:00,0.01,34,5636,0,34
2018-05-02 23:55:00,0.17,35,5689,1,33
2018-05-02 23:56:00,0.17,34,5689,1,34
2018-05-02 23:57:00,0.17,34,5695,0,33
2018-05-02 23:58:00,0.17,33,5706,1,33
2018-05-02 23:59:00,0.17,33,5700,1,33
2018-05-03 00:00:00,0.17,34,5700,1,34
2018-05-03 00:01:00,0.17,34,5700,1,33
2018-05-03 00:02:00,0.17,33,5695,1,33
2018-05-03 00:03:00,0.17,33,5706,1,33
2018-05-03 00:04:00,0.17,33,5706,1,33
2018-05-03 00:05:00,0.17,33,5706,1,33
2018-05-03 00:06:00,0.17,33,5706,0,33
2018-05-03 00:07:00,0.17,32,5689,0,33
2018-05-03 00:09:00,0.17,35,5747,0,32
2018-05-03 00:10:00,0.17,34,5747,0,32
2018-05-03 00:11:00,0.17,37,5753,0,31
2018-05-03 00:12:00,0.17,40,5759,0,31
2018-05-03 00:13:00,0.17,41,5759,0,30
2018-05-03 00:14:00,0.17,42,5747,0,30
2018-05-03 00:15:00,0.17,42,5730,0,30
2018-05-03 00:16:00,0.17,43,5730,0,30
2018-05-03 00:17:00,0.17,43,5736,0,30
2018-05-03 00:21:00,0.17,39,5800,0,32
2018-05-03 00:22:00,0.01,39,5794,0,32
2018-05-03 00:23:00,15.1,38,5788,0,32
2018-05-03 00:24:00,93.1,36,5788,0,33
2018-05-03 00:25:00,99.2,35,5812,0,33
2018-05-03 00:27:00,0.0,0,0,0,0
2018-05-03 00:28:00,94.87,35,5847,0,33
2018-05-03 00:29:00,93.75,35,5847,0,33
2018-05-03 00:30:00,92.78,35,5847,0,33
2018-05-03 00:31:00,91.98,35,5847,0,33
2018-05-03 00:32:00,91.18,35,5847,0,33
2018-05-03 00:33:00,90.7,34,5847,0,33
2018-05-03 00:34:00,89.89,34,5847,0,33
2018-05-03 00:35:00,89.09,33,5847,0,33
2018-05-03 00:36:00,88.29,34,5847,0,33
2018-05-03 00:37:00,87.65,34,5847,0,33
2018-05-03 00:38:00,87.01,34,5847,0,33
2018-05-03 00:39:00,86.36,33,5853,0,33
2018-05-03 00:40:00,85.88,34,5847,0,33
2018-05-03 00:41:00,85.4,33,5853,0,33
2018-05-03 00:42:00,85.08,33,5847,0,33
2018-05-03 00:43:00,84.76,33,5853,0,33
2018-05-03 00:44:00,84.6,33,5853,0,33
2018-05-03 00:45:00,84.44,33,5853,0,34
2018-05-03 00:46:00,84.12,33,5853,0,34
2018-05-03 00:47:00,83.96,32,5853,0,33
2018-05-03 00:48:00,83.63,32,5853,0,34
2018-05-03 00:49:00,83.63,32,5853,0,34
2018-05-03 00:50:00,83.47,32,5853,0,34
2018-05-03 00:51:00,83.31,32,5853,0,34
2018-05-03 00:52:00,83.15,32,5853,0,34
2018-05-03 00:53:00,82.99,32,5847,0,34
2018-05-03 00:54:00,82.83,32,5841,0,34
2018-05-03 00:55:00,82.51,32,5853,0,34
2018-05-03 00:56:00,82.35,32,5853,0,34
2018-05-03 00:57:00,82.03,32,5853,0,34
2018-05-03 00:58:00,81.87,32,5859,0,34
2018-05-03 00:59:00,81.55,32,5859,0,34
2018-05-03 01:00:00,81.07,32,5859,0,34
2018-05-03 01:01:00,80.59,32,5859,0,34
2018-05-03 01:02:00,79.94,32,5859,0,34
2018-05-03 01:03:00,79.46,32,5859,0,34
2018-05-03 01:04:00,79.14,32,5847,0,34
2018-05-03 01:05:00,78.5,33,5859,0,34
2018-05-03 01:06:00,78.18,33,5865,0,34
2018-05-03 01:07:00,77.38,32,5859,0,35
2018-05-03 01:08:00,76.89,32,5853,0,35
2018-05-03 01:09:00,76.41,33,5829,0,34
2018-05-03 01:10:00,75.61,34,5853,0,34
2018-05-03 01:11:00,75.13,34,5853,0,34
2018-05-03 01:12:00,74.97,34,5853,0,34
2018-05-03 01:13:00,74.17,34,5859,0,34
2018-05-03 01:14:00,72.88,34,5859,0,34
2018-05-03 01:15:00,71.92,33,5865,0,34
2018-05-03 01:16:00,70.96,34,5865,0,34
2018-05-03 01:17:00,69.99,34,5865,0,34
2018-05-03 01:18:00,69.51,35,5865,0,34
2018-05-03 01:19:00,68.39,35,5870,0,34
2018-05-03 01:20:00,67.75,35,5870,1,34
2018-05-03 01:21:00,66.94,36,5870,1,34
2018-05-03 01:22:00,66.3,36,5870,1,34
2018-05-03 01:23:00,65.34,36,5870,1,34
2018-05-03 01:24:00,64.7,35,5870,1,34
2018-05-03 01:25:00,64.54,36,5870,1,34
2018-05-03 01:26:00,63.57,35,5847,1,35
2018-05-03 01:27:00,62.93,35,5870,1,35
2018-05-03 01:28:00,61.97,36,5870,1,34
2018-05-03 01:29:00,61.33,35,5870,1,34
2018-05-03 01:30:00,60.36,35,5876,1,34
2018-05-03 01:31:00,59.56,36,5876,1,34
2018-05-03 01:32:00,58.76,35,5876,1,34
2018-05-03 01:33:00,57.79,35,5876,1,34
2018-05-03 01:34:00,57.47,34,5876,1,35
2018-05-03 01:35:00,56.83,35,5876,1,35
2018-05-03 01:36:00,56.35,34,5876,1,35
2018-05-03 01:37:00,55.71,34,5876,1,35
2018-05-03 01:38:00,55.39,34,5876,2,35
2018-05-03 01:39:00,55.07,34,5876,1,35
2018-05-03 01:40:00,54.58,34,5876,1,35
2018-05-03 01:41:00,54.1,34,5835,1,35
2018-05-03 01:42:00,53.46,34,5829,1,35
2018-05-03 01:43:00,52.98,34,5835,1,35
2018-05-03 01:44:00,52.66,35,5829,0,34
2018-05-03 01:45:00,52.18,35,5835,1,34
2018-05-03 01:46:00,52.02,35,5841,1,33
2018-05-03 01:47:00,51.37,35,5847,1,33
2018-05-03 01:48:00,50.89,35,5876,1,34
2018-05-03 01:49:00,50.57,36,5876,1,34
2018-05-03 01:50:00,50.25,36,5876,1,34
2018-05-03 01:51:00,49.77,35,5859,1,35
