,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,TEMPERATURA
2018-05-09 10:25:00,62.61,18.0,5853.0,29.0
2018-05-09 10:26:00,62.61,18.0,5853.0,29.0
2018-05-09 10:27:00,62.45,18.0,5853.0,29.0
2018-05-09 10:28:00,62.45,18.0,5853.0,30.0
2018-05-09 10:29:00,62.45,18.0,5859.0,30.0
2018-05-09 10:30:00,62.29,18.0,5870.0,30.0
2018-05-09 10:31:00,62.13,18.0,5865.0,30.0
2018-05-09 10:32:00,62.29,18.0,5859.0,30.0
2018-05-09 10:33:00,62.29,18.0,5870.0,30.0
2018-05-09 10:34:00,62.29,18.0,5870.0,30.0
2018-05-09 10:35:00,62.13,18.0,5870.0,30.0
2018-05-09 10:36:00,62.13,18.0,5870.0,30.0
2018-05-09 10:37:00,62.13,18.0,5870.0,30.0
2018-05-09 10:38:00,62.13,18.0,5870.0,30.0
2018-05-09 10:39:00,62.13,17.0,5870.0,31.0
2018-05-09 10:40:00,61.97,17.0,5870.0,31.0
2018-05-09 10:41:00,61.97,17.0,5870.0,31.0
2018-05-09 10:42:00,61.97,17.0,5870.0,31.0
2018-05-09 10:43:00,61.97,17.0,5865.0,31.0
2018-05-09 10:44:00,61.81,17.0,5870.0,31.0
2018-05-09 10:45:00,61.97,17.0,5870.0,31.0
2018-05-09 10:46:00,62.13,17.0,5870.0,31.0
2018-05-09 10:47:00,61.97,17.0,5865.0,31.0
2018-05-09 10:48:00,61.97,17.0,5865.0,31.0
2018-05-09 10:49:00,61.97,17.0,5865.0,31.0
2018-05-09 10:50:00,61.81,17.0,5876.0,32.0
2018-05-09 10:51:00,62.13,17.0,5870.0,32.0
2018-05-09 10:52:00,62.13,17.0,5870.0,32.0
2018-05-09 10:53:00,61.97,17.0,5876.0,32.0
2018-05-09 10:54:00,61.97,17.0,5876.0,32.0
2018-05-09 10:55:00,61.97,17.0,5876.0,32.0
2018-05-09 10:56:00,61.97,17.0,5865.0,32.0
2018-05-09 10:57:00,61.81,17.0,5865.0,32.0
2018-05-09 10:58:00,61.81,17.0,5865.0,32.0
2018-05-09 10:59:00,61.97,17.0,5865.0,32.0
2018-05-09 11:00:00,61.97,17.0,5859.0,32.0
2018-05-09 11:01:00,61.81,17.0,5865.0,32.0
2018-05-09 11:02:00,61.81,17.0,5865.0,32.0
2018-05-09 11:03:00,61.81,17.0,5870.0,32.0
2018-05-09 11:04:00,61.81,17.0,5865.0,32.0
2018-05-09 11:05:00,61.81,17.0,5865.0,32.0
2018-05-09 11:06:00,61.65,17.0,5865.0,32.0
2018-05-09 11:07:00,61.81,17.0,5865.0,32.0
2018-05-09 11:08:00,61.97,17.0,5865.0,32.0
2018-05-09 11:09:00,61.97,17.0,5865.0,32.0
2018-05-09 11:10:00,61.81,17.0,5865.0,32.0
2018-05-09 11:11:00,61.81,17.0,5870.0,32.0
2018-05-09 11:12:00,61.97,17.0,5870.0,32.0
2018-05-09 11:13:00,61.97,17.0,5865.0,32.0
2018-05-09 11:14:00,61.97,17.0,5859.0,32.0
2018-05-09 11:15:00,61.81,17.0,5859.0,32.0
2018-05-09 11:16:00,61.65,17.0,5859.0,32.0
2018-05-09 11:17:00,61.65,17.0,5859.0,32.0
2018-05-09 11:18:00,61.97,17.0,5859.0,31.0
2018-05-09 11:19:00,61.97,17.0,5859.0,31.0
2018-05-09 11:20:00,61.97,17.0,5859.0,31.0
2018-05-09 11:21:00,61.65,17.0,5859.0,31.0
2018-05-09 11:22:00,61.65,17.0,5859.0,31.0
2018-05-09 11:23:00,61.81,17.0,5859.0,31.0
2018-05-09 11:24:00,61.65,17.0,5859.0,31.0
2018-05-09 11:25:00,61.65,17.0,5859.0,31.0
2018-05-09 11:26:00,61.65,17.0,5859.0,31.0
2018-05-09 11:27:00,61.81,17.0,5865.0,31.0
2018-05-09 11:28:00,61.65,17.0,5865.0,31.0
2018-05-09 11:29:00,61.81,17.0,5865.0,31.0
2018-05-09 11:30:00,61.97,17.0,5865.0,31.0
