id_Variable;id_nodo;Temperatura;Humedad;Hum. Tierra;Nivel_UV;intlum;ano;MES;DIA;HORA;MINUTO;
2927;2;29;18;62,61;0;5853;2018;5;9;10;26;
2928;3;29;58;59,72;0;5841;2018;5;9;10;27;
2929;5;30;57;67,75;0;5841;2018;5;9;10;27;
2930;2;29;18;62,45;0;5853;2018;5;9;10;27;
2931;3;29;58;59,72;0;5806;2018;5;9;10;28;
2932;5;30;57;63,25;0;5824;2018;5;9;10;28;
2933;2;30;18;62,45;0;5853;2018;5;9;10;28;
2934;3;30;57;59,4;0;5818;2018;5;9;10;29;
2935;5;30;56;58,92;0;5835;2018;5;9;10;29;
2936;2;30;18;62,45;0;5859;2018;5;9;10;29;
2937;3;30;56;59,24;0;5829;2018;5;9;10;30;
2938;5;30;56;56,03;0;5859;2018;5;9;10;30;
2939;2;30;18;62,29;0;5870;2018;5;9;10;30;
2940;3;30;55;59,08;0;5841;2018;5;9;10;31;
2941;5;31;54;54,1;0;5859;2018;5;9;10;31;
2942;2;30;18;62,13;0;5865;2018;5;9;10;31;
2943;3;30;54;59,08;0;5829;2018;5;9;10;32;
2944;5;31;52;52,5;0;5841;2018;5;9;10;32;
2945;2;30;18;62,29;0;5859;2018;5;9;10;32;
2946;3;30;54;59,08;0;5841;2018;5;9;10;33;
2947;5;31;51;51,7;0;5859;2018;5;9;10;33;
2948;2;30;18;62,29;0;5870;2018;5;9;10;33;
2949;3;30;54;58,92;0;5841;2018;5;9;10;34;
2950;2;30;18;62,29;0;5870;2018;5;9;10;34;
2951;3;30;53;58,92;0;5835;2018;5;9;10;35;
2952;5;32;48;50,73;0;5859;2018;5;9;10;35;
2953;2;30;18;62,13;0;5870;2018;5;9;10;35;
2954;3;30;51;58,92;0;5835;2018;5;9;10;36;
2955;4;32;58;74,97;0;5835;2018;5;9;10;36;
2956;5;32;47;50,73;0;5859;2018;5;9;10;36;
2957;2;30;18;62,13;0;5870;2018;5;9;10;36;
2958;4;31;56;69,19;0;5829;2018;5;9;10;36;
2959;4;30;55;68,23;0;5829;2018;5;9;10;37;
2960;3;30;49;58,76;0;5835;2018;5;9;10;37;
2961;5;32;45;50,73;0;5859;2018;5;9;10;37;
