TIME,TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,NIVEL UV,INTENSIDAD LUMÍNICA,HORA
2018-04-27 05:24:00,29,42,0.01,1,5876,5
2018-04-27 05:28:00,29,42,0.01,1,5824,5
2018-05-02 23:32:00,34,32,0.01,0,99,23
2018-05-02 23:36:00,33,32,0.01,0,6609,23
2018-05-02 23:37:00,33,32,0.01,0,5777,23
2018-05-02 23:38:00,33,32,0.01,0,5818,23
2018-05-03 00:33:00,34,28,0.01,1,5788,0
2018-05-03 00:35:00,34,28,0.01,1,5788,0
2018-05-03 00:36:00,34,29,0.01,1,5788,0
2018-05-03 00:37:00,34,29,0.01,1,5759,0
2018-05-03 00:38:00,34,30,0.01,1,5777,0
2018-05-03 00:39:00,34,30,0.01,1,5800,0
2018-05-03 00:40:00,34,30,0.01,1,5777,0
2018-05-03 01:16:00,34,32,88.77,0,5829,1
2018-05-03 01:17:00,34,32,88.61,0,5829,1
2018-05-03 01:18:00,34,32,88.61,0,5829,1
2018-05-03 01:19:00,34,32,88.61,0,5829,1
2018-05-03 01:20:00,34,32,88.61,0,5829,1
2018-05-03 01:21:00,34,32,88.61,0,5835,1
2018-05-03 01:22:00,34,32,88.45,0,5829,1
2018-05-03 01:23:00,34,32,88.29,0,5835,1
2018-05-03 01:24:00,34,32,88.29,0,5835,1
2018-05-03 01:25:00,34,32,88.29,0,5835,1
2018-05-03 01:26:00,34,32,88.13,0,5812,1
2018-05-03 01:27:00,34,32,88.13,0,5835,1
2018-05-03 01:28:00,34,32,88.13,0,5835,1
2018-05-03 01:29:00,34,32,87.97,0,5835,1
2018-05-03 01:30:00,34,32,87.81,0,5841,1
2018-05-03 01:31:00,34,33,87.97,0,5841,1
2018-05-03 01:32:00,34,33,87.97,0,5841,1
2018-05-03 01:33:00,34,33,87.81,0,5841,1
2018-05-03 01:34:00,34,33,87.65,0,5841,1
2018-05-03 01:35:00,34,33,87.49,0,5841,1
2018-05-03 01:36:00,34,33,87.49,0,5841,1
2018-05-03 01:37:00,34,33,87.65,0,5841,1
2018-05-03 01:38:00,34,32,87.33,0,5841,1
2018-05-03 01:39:00,34,32,87.49,0,5847,1
