TIME,TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,NIVEL UV,INTENSIDAD LUMÍNICA,HORA
2018-05-09 09:38:00,0,0,0.0,0,0,9
2018-05-09 09:49:00,0,0,0.0,0,0,9
2018-05-09 09:50:00,60,78,0.01,5,5829,9
2018-05-09 09:51:00,60,78,0.01,5,5829,9
2018-05-09 09:52:00,60,78,0.01,5,5829,9
2018-05-09 09:53:00,60,78,0.01,5,5835,9
2018-05-09 09:54:00,60,78,0.01,5,5829,9
2018-05-09 09:55:00,60,78,0.01,5,5829,9
2018-05-09 09:56:00,60,78,0.01,5,5824,9
2018-05-09 09:57:00,60,78,0.01,5,5829,9
2018-05-09 09:58:00,60,78,0.01,5,5841,9
2018-05-09 09:59:00,60,78,0.01,5,5859,9
2018-05-09 10:00:00,60,78,0.01,5,5859,10
2018-05-09 10:01:00,0,5,0.01,5,5859,10
2018-05-09 10:02:00,60,78,0.01,5,5853,10
2018-05-09 10:03:00,60,78,0.01,5,5829,10
2018-05-09 10:04:00,60,78,0.01,5,5835,10
2018-05-09 10:05:00,0,0,0.01,3,5865,10
2018-05-09 10:06:00,60,78,0.01,4,5859,10
2018-05-09 10:07:00,60,78,0.01,5,5841,10
2018-05-09 10:08:00,60,78,0.01,5,5841,10
2018-05-09 10:09:00,60,78,0.01,5,5835,10
2018-05-09 10:10:00,60,78,0.01,5,5835,10
2018-05-09 10:11:00,60,78,0.01,5,5835,10
2018-05-09 10:12:00,60,78,0.01,5,5847,10
2018-05-09 10:13:00,60,78,0.01,5,5847,10
2018-05-09 10:42:00,0,0,0.0,0,0,10
2018-05-09 10:43:00,32,41,0.01,6,5876,10
2018-05-09 10:44:00,0,0,0.0,0,0,10
2018-05-09 10:45:00,33,40,0.01,6,5865,10
2018-05-09 10:49:00,0,0,0.0,0,0,10
2018-05-09 10:50:00,33,40,0.01,7,5870,10
2018-05-09 10:51:00,0,0,0.0,0,0,10
2018-05-09 10:53:00,33,40,0.01,7,5870,10
2018-05-09 10:54:00,33,40,0.01,7,5870,10
2018-05-09 10:55:00,34,39,0.01,7,5859,10
2018-05-09 10:58:00,0,0,0.0,0,0,10
2018-05-09 11:00:00,0,0,0.0,0,0,11
2018-05-09 11:01:00,33,35,0.01,7,5841,11
2018-05-09 11:02:00,33,35,0.01,7,5847,11
2018-05-09 11:03:00,32,35,0.01,7,5853,11
2018-05-09 11:04:00,33,33,0.01,7,5847,11
2018-05-09 11:05:00,33,34,0.01,7,5841,11
2018-05-09 11:06:00,32,35,0.01,7,5841,11
2018-05-09 11:07:00,32,34,0.01,7,5841,11
2018-05-09 11:08:00,32,35,0.01,7,5835,11
2018-05-09 11:09:00,32,35,0.01,7,5841,11
2018-05-09 11:10:00,32,35,0.01,7,5841,11
2018-05-09 11:11:00,32,35,0.01,7,5847,11
2018-05-09 11:12:00,32,34,0.01,7,5847,11
2018-05-09 11:13:00,32,35,0.01,7,5835,11
2018-05-09 11:14:00,32,34,0.01,7,5835,11
2018-05-09 11:15:00,32,35,0.01,7,5835,11
2018-05-09 11:16:00,32,35,0.01,7,5829,11
2018-05-09 11:17:00,32,36,0.01,7,5829,11
2018-05-09 11:18:00,32,35,0.01,7,5829,11
2018-05-09 11:19:00,32,35,0.01,7,5829,11
2018-05-09 11:20:00,32,34,0.01,7,5829,11
2018-05-09 11:21:00,0,0,0.0,0,0,11
2018-05-09 11:22:00,32,35,0.01,7,5835,11
2018-05-09 11:23:00,32,36,0.01,7,5829,11
2018-05-09 11:24:00,32,36,0.01,7,5829,11
2018-05-09 11:25:00,32,36,0.01,7,5829,11
2018-05-09 11:26:00,31,36,0.01,7,5829,11
2018-05-09 11:27:00,31,36,0.01,7,5835,11
2018-05-09 11:28:00,31,36,0.01,7,5835,11
2018-05-09 11:29:00,31,35,0.01,7,5829,11
2018-05-09 11:30:00,31,35,0.01,7,5835,11
2018-05-09 11:31:00,31,35,0.01,7,5835,11
2018-05-09 11:32:00,31,36,0.01,7,5835,11
2018-05-09 11:33:00,31,36,0.01,7,5835,11
2018-05-09 11:34:00,31,36,0.01,7,5835,11
2018-05-09 11:35:00,31,35,0.01,7,5835,11
2018-05-09 11:36:00,31,35,0.01,7,5835,11
2018-05-09 11:37:00,31,35,0.01,7,5835,11
2018-05-09 11:38:00,31,36,0.01,7,5835,11
2018-05-09 11:39:00,0,0,0.0,0,0,11
2018-05-09 11:40:00,31,40,0.01,7,5841,11
2018-05-09 11:41:00,30,42,0.01,7,5841,11
2018-05-09 11:42:00,30,43,0.01,7,5841,11
2018-05-09 11:43:00,30,44,0.01,7,5841,11
2018-05-09 11:44:00,30,45,0.01,7,5847,11
2018-05-09 11:45:00,30,45,0.01,7,5847,11
2018-05-09 11:46:00,30,45,0.01,7,5847,11
2018-05-09 11:47:00,30,46,0.01,7,5847,11
2018-05-09 11:48:00,30,46,0.01,7,5859,11
2018-05-09 11:49:00,30,46,0.01,7,5870,11
2018-05-09 11:50:00,30,47,0.01,7,5859,11
2018-05-09 11:51:00,30,46,0.01,7,5853,11
2018-05-09 11:52:00,30,46,0.01,7,5853,11
2018-05-09 11:53:00,30,46,0.01,7,5847,11
2018-05-09 11:55:00,0,0,0.0,0,0,11
2018-05-09 11:56:00,30,46,0.01,7,5847,11
2018-05-09 11:57:00,30,46,0.01,7,5847,11
2018-05-09 11:58:00,30,46,0.01,7,5847,11
2018-05-09 11:59:00,30,46,0.01,7,5859,11
2018-05-09 12:00:00,30,46,0.01,7,5870,12
2018-05-09 12:01:00,30,46,0.01,7,5865,12
2018-05-09 12:02:00,31,45,0.01,7,5865,12
2018-05-09 12:03:00,31,45,0.01,7,5870,12
2018-05-09 12:04:00,31,45,0.01,8,5859,12
2018-05-09 12:05:00,31,44,0.01,8,5853,12
2018-05-09 12:06:00,31,44,0.01,8,5853,12
2018-05-09 12:07:00,30,45,0.01,7,5847,12
2018-05-09 12:08:00,30,46,0.01,7,5853,12
2018-05-09 12:09:00,30,46,0.01,7,5859,12
2018-05-09 12:10:00,30,47,0.01,8,5859,12
2018-05-09 12:11:00,30,47,0.01,8,5859,12
2018-05-09 12:12:00,30,47,0.01,8,5865,12
2018-05-09 12:13:00,30,46,0.01,8,5876,12
2018-05-09 12:14:00,31,46,0.01,8,5894,12
2018-05-09 12:15:00,32,46,0.01,8,5882,12
2018-05-09 12:16:00,32,45,0.01,8,5870,12
2018-05-09 12:17:00,32,45,0.01,8,5859,12
2018-05-09 12:18:00,32,44,0.01,8,5865,12
2018-05-09 12:19:00,32,44,0.01,8,5882,12
2018-05-09 12:20:00,32,44,0.01,8,5876,12
2018-05-09 12:21:00,32,44,0.01,8,5870,12
2018-05-09 12:22:00,32,44,0.01,8,5853,12
2018-05-09 12:23:00,31,44,0.01,8,5870,12
2018-05-09 12:24:00,31,44,0.01,8,5888,12
2018-05-09 12:25:00,32,44,0.01,8,5888,12
2018-05-09 12:26:00,32,44,0.01,8,5888,12
2018-05-09 12:27:00,32,45,0.01,8,5882,12
2018-05-09 12:28:00,33,43,0.01,8,5888,12
2018-05-09 12:29:00,32,44,0.01,8,5888,12
2018-05-09 12:30:00,32,43,0.01,8,5888,12
2018-05-09 12:31:00,32,44,0.01,8,5888,12
2018-05-09 12:32:00,32,43,0.01,8,5876,12
2018-05-09 12:33:00,32,43,0.01,8,5882,12
2018-05-09 12:34:00,32,43,0.01,8,5882,12
2018-05-09 12:35:00,32,43,0.01,8,5888,12
2018-05-09 12:36:00,32,43,0.01,8,5888,12
2018-05-09 12:37:00,32,43,0.01,8,5888,12
2018-05-09 12:38:00,32,43,0.01,8,5888,12
2018-05-09 12:39:00,32,43,0.01,8,5882,12
2018-05-09 12:40:00,32,43,0.01,8,5870,12
2018-05-09 12:41:00,32,43,0.01,8,5859,12
2018-05-09 12:42:00,32,43,0.01,8,5870,12
2018-05-09 12:43:00,32,43,0.01,8,5876,12
2018-05-09 12:44:00,32,43,0.01,8,5870,12
2018-05-09 12:45:00,32,43,0.01,9,5888,12
2018-05-09 12:46:00,32,43,0.01,9,5870,12
2018-05-09 12:47:00,32,43,0.01,9,5882,12
2018-05-09 12:48:00,32,43,0.01,9,5888,12
2018-05-09 12:49:00,32,43,0.01,9,5888,12
2018-05-09 12:50:00,32,43,0.01,9,5888,12
2018-05-09 12:51:00,32,43,0.01,9,5888,12
2018-05-09 12:52:00,32,43,0.01,9,5888,12
2018-05-09 12:53:00,32,43,0.01,9,5882,12
