,TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,INTENSIDAD LUMÍNICA,HORA
2018-05-09 10:25:00,30.0,58.0,80.42,5829.0,10.0
2018-05-09 10:26:00,30.0,57.0,73.2,5829.0,10.0
2018-05-09 10:27:00,30.0,57.0,67.75,5841.0,10.0
2018-05-09 10:28:00,30.0,57.0,63.25,5824.0,10.0
2018-05-09 10:29:00,30.0,56.0,58.92,5835.0,10.0
2018-05-09 10:30:00,30.0,56.0,56.03,5859.0,10.0
2018-05-09 10:31:00,31.0,54.0,54.1,5859.0,10.0
2018-05-09 10:32:00,31.0,52.0,52.5,5841.0,10.0
2018-05-09 10:33:00,31.0,51.0,51.7,5859.0,10.0
2018-05-09 10:35:00,32.0,48.0,50.73,5859.0,10.0
2018-05-09 10:36:00,32.0,47.0,50.73,5859.0,10.0
2018-05-09 10:37:00,32.0,45.0,50.73,5859.0,10.0
2018-05-09 10:38:00,32.0,45.0,50.73,5859.0,10.0
2018-05-09 10:40:00,32.0,43.0,51.21,5859.0,10.0
2018-05-09 10:42:00,32.0,42.0,51.37,5853.0,10.0
2018-05-09 10:43:00,32.0,42.0,51.53,5853.0,10.0
2018-05-09 10:44:00,32.0,42.0,52.18,5859.0,10.0
2018-05-09 10:45:00,32.0,42.0,52.18,5859.0,10.0
2018-05-09 10:46:00,32.0,41.0,52.82,5853.0,10.0
2018-05-09 10:47:00,33.0,40.0,52.98,5847.0,10.0
2018-05-09 10:49:00,33.0,41.0,53.3,5859.0,10.0
2018-05-09 10:50:00,33.0,41.0,53.94,5859.0,10.0
2018-05-09 10:51:00,33.0,41.0,54.1,5853.0,10.0
2018-05-09 10:53:00,33.0,42.0,55.39,5853.0,10.0
2018-05-09 10:54:00,33.0,41.0,55.71,5853.0,10.0
2018-05-09 10:55:00,33.0,41.0,56.03,5865.0,10.0
2018-05-09 10:56:00,33.0,42.0,56.19,5841.0,10.0
2018-05-09 10:57:00,33.0,40.0,56.51,5829.0,10.0
2018-05-09 10:58:00,33.0,39.0,57.15,5835.0,10.0
2018-05-09 10:59:00,33.0,38.0,57.47,5829.0,10.0
2018-05-09 11:00:00,32.0,38.0,57.79,5824.0,11.0
2018-05-09 11:01:00,32.0,39.0,57.95,5824.0,11.0
2018-05-09 11:02:00,32.0,39.0,58.28,5829.0,11.0
2018-05-09 11:03:00,32.0,36.0,58.6,5835.0,11.0
2018-05-09 11:04:00,32.0,38.0,59.08,5829.0,11.0
2018-05-09 11:05:00,32.0,38.0,59.08,5829.0,11.0
2018-05-09 11:06:00,32.0,36.0,59.4,5829.0,11.0
2018-05-09 11:07:00,32.0,36.0,59.72,5829.0,11.0
2018-05-09 11:08:00,32.0,37.0,60.36,5829.0,11.0
2018-05-09 11:09:00,31.0,37.0,60.04,5829.0,11.0
2018-05-09 11:10:00,31.0,36.0,60.2,5829.0,11.0
2018-05-09 11:11:00,32.0,36.0,60.84,5835.0,11.0
2018-05-09 11:12:00,32.0,37.0,60.52,5829.0,11.0
2018-05-09 11:13:00,32.0,38.0,60.36,5824.0,11.0
2018-05-09 11:14:00,32.0,38.0,60.68,5818.0,11.0
2018-05-09 11:15:00,31.0,36.0,60.68,5818.0,11.0
2018-05-09 11:16:00,31.0,36.0,61.33,5812.0,11.0
2018-05-09 11:17:00,31.0,39.0,61.16,5812.0,11.0
2018-05-09 11:18:00,31.0,37.0,61.16,5812.0,11.0
2018-05-09 11:19:00,31.0,36.0,61.0,5812.0,11.0
2018-05-09 11:20:00,31.0,35.0,61.0,5812.0,11.0
2018-05-09 11:21:00,31.0,35.0,60.52,5812.0,11.0
2018-05-09 11:22:00,31.0,36.0,60.68,5812.0,11.0
2018-05-09 11:23:00,31.0,36.0,60.36,5818.0,11.0
2018-05-09 11:24:00,31.0,36.0,60.68,5812.0,11.0
2018-05-09 11:25:00,31.0,36.0,61.0,5812.0,11.0
2018-05-09 11:26:00,31.0,36.0,61.0,5812.0,11.0
2018-05-09 11:27:00,31.0,37.0,60.84,5818.0,11.0
2018-05-09 11:28:00,30.0,39.0,61.16,5818.0,11.0
2018-05-09 11:29:00,30.0,37.0,61.65,5818.0,11.0
2018-05-09 11:30:00,30.0,37.0,61.49,5818.0,11.0
2018-05-09 11:32:00,30.0,37.0,61.65,5818.0,11.0
2018-05-09 11:33:00,30.0,37.0,61.97,5818.0,11.0
2018-05-09 11:34:00,30.0,37.0,61.97,5818.0,11.0
2018-05-09 11:35:00,30.0,37.0,62.61,5818.0,11.0
2018-05-09 11:36:00,30.0,37.0,62.29,5818.0,11.0
2018-05-09 11:37:00,30.0,37.0,62.61,5818.0,11.0
2018-05-09 11:38:00,30.0,38.0,62.61,5818.0,11.0
2018-05-09 11:39:00,30.0,41.0,63.09,5824.0,11.0
2018-05-09 11:40:00,30.0,42.0,62.93,5824.0,11.0
2018-05-09 11:41:00,30.0,44.0,63.25,5824.0,11.0
2018-05-09 11:42:00,30.0,45.0,63.25,5824.0,11.0
2018-05-09 11:43:00,30.0,46.0,63.57,5824.0,11.0
2018-05-09 11:45:00,30.0,49.0,63.57,5829.0,11.0
2018-05-09 11:46:00,30.0,51.0,64.05,5829.0,11.0
2018-05-09 11:47:00,30.0,52.0,63.89,5829.0,11.0
2018-05-09 11:48:00,30.0,51.0,63.89,5829.0,11.0
2018-05-09 11:49:00,30.0,52.0,64.05,5853.0,11.0
2018-05-09 11:50:00,30.0,52.0,64.21,5853.0,11.0
2018-05-09 11:51:00,30.0,52.0,64.21,5835.0,11.0
2018-05-09 11:52:00,30.0,52.0,64.7,5835.0,11.0
2018-05-09 11:53:00,30.0,51.0,64.21,5824.0,11.0
2018-05-09 11:54:00,30.0,51.0,63.89,5824.0,11.0
2018-05-09 11:55:00,30.0,52.0,64.54,5824.0,11.0
2018-05-09 11:56:00,30.0,52.0,64.05,5824.0,11.0
2018-05-09 11:57:00,30.0,52.0,64.05,5824.0,11.0
2018-05-09 11:58:00,30.0,52.0,64.54,5835.0,11.0
2018-05-09 11:59:00,30.0,52.0,64.54,5841.0,11.0
2018-05-09 12:00:00,30.0,53.0,64.54,5847.0,12.0
2018-05-09 12:01:00,30.0,53.0,65.02,5853.0,12.0
2018-05-09 12:02:00,30.0,52.0,64.86,5847.0,12.0
2018-05-09 12:03:00,30.0,52.0,64.7,5853.0,12.0
2018-05-09 12:04:00,31.0,51.0,64.86,5835.0,12.0
2018-05-09 12:05:00,31.0,51.0,64.54,5829.0,12.0
2018-05-09 12:06:00,30.0,51.0,64.86,5829.0,12.0
2018-05-09 12:07:00,30.0,51.0,65.18,5824.0,12.0
2018-05-09 12:08:00,30.0,51.0,65.18,5841.0,12.0
2018-05-09 12:09:00,30.0,52.0,65.34,5841.0,12.0
2018-05-09 12:10:00,30.0,53.0,65.34,5841.0,12.0
2018-05-09 12:11:00,30.0,53.0,65.34,5841.0,12.0
2018-05-09 12:12:00,30.0,53.0,65.34,5847.0,12.0
2018-05-09 12:13:00,30.0,53.0,65.18,5865.0,12.0
2018-05-09 12:14:00,30.0,53.0,65.18,5865.0,12.0
2018-05-09 12:15:00,31.0,52.0,64.86,5870.0,12.0
2018-05-09 12:16:00,31.0,52.0,64.86,5841.0,12.0
2018-05-09 12:17:00,31.0,51.0,65.02,5847.0,12.0
2018-05-09 12:18:00,31.0,51.0,65.18,5847.0,12.0
2018-05-09 12:19:00,31.0,49.0,65.34,5859.0,12.0
2018-05-09 12:20:00,31.0,49.0,65.18,5853.0,12.0
2018-05-09 12:21:00,31.0,49.0,65.34,5835.0,12.0
2018-05-09 12:22:00,31.0,47.0,65.34,5841.0,12.0
2018-05-09 12:23:00,31.0,47.0,66.3,5876.0,12.0
2018-05-09 12:24:00,31.0,48.0,65.82,5870.0,12.0
2018-05-09 12:25:00,31.0,49.0,65.5,5870.0,12.0
2018-05-09 12:26:00,31.0,49.0,65.82,5870.0,12.0
2018-05-09 12:27:00,32.0,50.0,65.66,5870.0,12.0
2018-05-09 12:28:00,32.0,49.0,65.66,5870.0,12.0
2018-05-09 12:29:00,32.0,48.0,65.98,5876.0,12.0
2018-05-09 12:30:00,32.0,48.0,65.98,5870.0,12.0
2018-05-09 12:31:00,32.0,48.0,66.46,5870.0,12.0
2018-05-09 12:32:00,32.0,47.0,65.98,5859.0,12.0
2018-05-09 12:33:00,32.0,46.0,66.3,5865.0,12.0
2018-05-09 12:34:00,32.0,46.0,66.14,5870.0,12.0
2018-05-09 12:35:00,32.0,46.0,66.46,5870.0,12.0
2018-05-09 12:36:00,32.0,46.0,66.62,5870.0,12.0
2018-05-09 12:37:00,32.0,46.0,66.46,5870.0,12.0
2018-05-09 12:38:00,32.0,46.0,66.46,5870.0,12.0
2018-05-09 12:39:00,32.0,45.0,66.3,5870.0,12.0
2018-05-09 12:40:00,32.0,46.0,66.62,5865.0,12.0
2018-05-09 12:41:00,32.0,46.0,66.46,5853.0,12.0
2018-05-09 12:42:00,32.0,45.0,66.3,5859.0,12.0
2018-05-09 12:43:00,32.0,44.0,66.46,5870.0,12.0
2018-05-09 12:44:00,32.0,44.0,66.3,5853.0,12.0
2018-05-09 12:45:00,32.0,44.0,66.78,5870.0,12.0
2018-05-09 12:46:00,32.0,44.0,66.62,5859.0,12.0
2018-05-09 12:47:00,32.0,44.0,66.46,5870.0,12.0
2018-05-09 12:48:00,32.0,44.0,66.3,5870.0,12.0
2018-05-09 12:49:00,32.0,44.0,66.62,5870.0,12.0
2018-05-09 12:50:00,32.0,44.0,66.62,5870.0,12.0
2018-05-09 12:51:00,32.0,44.0,66.62,5870.0,12.0
2018-05-09 12:52:00,32.0,44.0,66.62,5870.0,12.0
2018-05-09 12:53:00,32.0,44.0,66.78,5870.0,12.0
2018-05-09 12:54:00,32.0,44.0,67.1,5847.0,12.0
2018-05-09 12:55:00,32.0,44.0,66.62,5841.0,12.0
2018-05-09 12:56:00,32.0,44.0,66.62,5870.0,12.0
2018-05-09 12:57:00,32.0,44.0,66.46,5876.0,12.0
2018-05-09 12:58:00,32.0,44.0,66.62,5870.0,12.0
2018-05-09 12:59:00,32.0,44.0,66.62,5835.0,12.0
2018-05-09 13:00:00,32.0,44.0,66.78,5829.0,13.0
2018-05-09 13:01:00,32.0,44.0,66.62,5841.0,13.0
2018-05-09 13:02:00,31.0,44.0,66.62,5835.0,13.0
2018-05-09 13:03:00,31.0,44.0,66.46,5812.0,13.0
2018-05-09 13:04:00,31.0,44.0,66.78,5806.0,13.0
2018-05-09 13:05:00,30.0,45.0,66.62,5806.0,13.0
2018-05-09 13:06:00,30.0,45.0,66.94,5818.0,13.0
2018-05-09 13:07:00,30.0,45.0,66.78,5829.0,13.0
2018-05-09 13:08:00,30.0,45.0,67.1,5870.0,13.0
2018-05-09 13:09:00,30.0,45.0,66.94,5865.0,13.0
2018-05-09 13:10:00,31.0,44.0,66.78,5870.0,13.0
2018-05-09 13:11:00,31.0,44.0,67.1,5829.0,13.0
2018-05-09 13:12:00,31.0,44.0,67.42,5829.0,13.0
2018-05-09 13:13:00,31.0,44.0,67.1,5800.0,13.0
2018-05-09 13:14:00,31.0,44.0,67.1,5794.0,13.0
2018-05-09 13:15:00,30.0,45.0,67.26,5794.0,13.0
2018-05-09 13:16:00,30.0,45.0,67.1,5818.0,13.0
2018-05-09 13:17:00,30.0,45.0,67.1,5794.0,13.0
2018-05-09 13:18:00,30.0,45.0,66.94,5800.0,13.0
2018-05-09 13:19:00,30.0,45.0,67.42,5806.0,13.0
2018-05-09 13:20:00,30.0,46.0,67.1,5847.0,13.0
2018-05-09 13:21:00,30.0,46.0,67.1,5853.0,13.0
2018-05-09 13:22:00,30.0,46.0,67.42,5859.0,13.0
2018-05-09 13:23:00,30.0,46.0,67.42,5829.0,13.0
2018-05-09 13:24:00,30.0,45.0,67.26,5835.0,13.0
2018-05-09 13:25:00,30.0,45.0,67.58,5853.0,13.0
2018-05-09 13:26:00,31.0,45.0,67.58,5818.0,13.0
2018-05-09 13:27:00,31.0,45.0,67.58,5812.0,13.0
2018-05-09 13:28:00,30.0,46.0,67.42,5800.0,13.0
2018-05-09 13:29:00,30.0,46.0,67.58,5794.0,13.0
2018-05-09 13:30:00,30.0,46.0,67.1,5794.0,13.0
2018-05-09 13:31:00,30.0,47.0,67.1,5788.0,13.0
2018-05-09 13:32:00,30.0,47.0,67.42,5794.0,13.0
2018-05-09 13:33:00,30.0,47.0,67.58,5788.0,13.0
2018-05-09 13:34:00,30.0,47.0,67.42,5788.0,13.0
2018-05-09 13:35:00,29.0,47.0,67.58,5788.0,13.0
2018-05-09 13:36:00,29.0,47.0,67.42,5788.0,13.0
2018-05-09 13:37:00,29.0,47.0,67.75,5788.0,13.0
2018-05-09 13:38:00,29.0,47.0,67.58,5788.0,13.0
2018-05-09 13:39:00,29.0,47.0,67.75,5788.0,13.0
2018-05-09 13:40:00,29.0,47.0,67.91,5788.0,13.0
2018-05-09 13:41:00,29.0,47.0,67.75,5788.0,13.0
2018-05-09 13:42:00,29.0,47.0,67.75,5788.0,13.0
2018-05-09 13:43:00,29.0,48.0,67.75,5788.0,13.0
2018-05-09 13:44:00,29.0,48.0,67.91,5788.0,13.0
2018-05-09 13:45:00,29.0,48.0,67.91,5788.0,13.0
2018-05-09 13:46:00,29.0,49.0,68.23,5788.0,13.0
2018-05-09 13:47:00,29.0,50.0,68.39,5782.0,13.0
2018-05-09 13:48:00,29.0,50.0,68.55,5782.0,13.0
2018-05-09 13:49:00,28.0,51.0,68.55,5782.0,13.0
2018-05-09 13:50:00,28.0,51.0,68.55,5777.0,13.0
2018-05-09 13:51:00,28.0,52.0,68.23,5777.0,13.0
2018-05-09 13:52:00,28.0,52.0,68.07,5777.0,13.0
2018-05-09 13:53:00,28.0,52.0,68.23,5777.0,13.0
2018-05-09 13:54:00,28.0,52.0,68.23,5771.0,13.0
2018-05-09 13:55:00,28.0,52.0,68.23,5771.0,13.0
2018-05-09 13:56:00,28.0,52.0,68.07,5777.0,13.0
2018-05-09 13:57:00,28.0,52.0,68.07,5777.0,13.0
2018-05-09 13:58:00,28.0,52.0,68.23,5777.0,13.0
2018-05-09 13:59:00,28.0,52.0,68.55,5777.0,13.0
2018-05-09 14:00:00,28.0,52.0,68.39,5777.0,14.0
2018-05-09 14:01:00,28.0,52.0,68.23,5777.0,14.0
2018-05-09 14:02:00,28.0,53.0,68.39,5777.0,14.0
2018-05-09 14:03:00,28.0,53.0,68.39,5777.0,14.0
2018-05-09 14:04:00,28.0,53.0,68.55,5777.0,14.0
2018-05-09 14:05:00,28.0,53.0,68.39,5777.0,14.0
2018-05-09 14:06:00,28.0,53.0,68.55,5771.0,14.0
2018-05-09 14:07:00,28.0,53.0,68.71,5771.0,14.0
2018-05-09 14:08:00,28.0,53.0,68.87,5771.0,14.0
2018-05-09 14:09:00,28.0,54.0,68.87,5771.0,14.0
2018-05-09 14:10:00,28.0,54.0,68.87,5771.0,14.0
2018-05-09 14:11:00,28.0,54.0,68.71,5771.0,14.0
2018-05-09 14:12:00,28.0,54.0,68.71,5777.0,14.0
2018-05-09 14:13:00,28.0,54.0,68.71,5782.0,14.0
2018-05-09 14:14:00,28.0,54.0,68.71,5777.0,14.0
2018-05-09 14:15:00,28.0,54.0,68.55,5771.0,14.0
2018-05-09 14:16:00,28.0,55.0,68.55,5771.0,14.0
2018-05-09 14:17:00,28.0,55.0,68.55,5771.0,14.0
2018-05-09 14:18:00,28.0,55.0,68.55,5765.0,14.0
2018-05-09 14:19:00,28.0,55.0,68.71,5765.0,14.0
2018-05-09 14:20:00,28.0,55.0,68.71,5765.0,14.0
2018-05-09 14:21:00,28.0,55.0,68.71,5765.0,14.0
2018-05-09 14:22:00,28.0,55.0,68.55,5765.0,14.0
2018-05-09 14:23:00,28.0,56.0,68.55,5771.0,14.0
2018-05-09 14:24:00,28.0,56.0,68.23,5771.0,14.0
2018-05-09 14:25:00,28.0,56.0,68.39,5771.0,14.0
2018-05-09 14:26:00,28.0,57.0,68.39,5771.0,14.0
2018-05-09 14:27:00,28.0,57.0,68.23,5771.0,14.0
2018-05-09 14:28:00,28.0,57.0,68.23,5765.0,14.0
2018-05-09 14:29:00,28.0,57.0,68.39,5765.0,14.0
2018-05-09 14:30:00,28.0,57.0,68.39,5765.0,14.0
2018-05-09 14:31:00,28.0,57.0,68.39,5771.0,14.0
2018-05-09 14:32:00,28.0,57.0,68.55,5765.0,14.0
2018-05-09 14:34:00,27.0,58.0,68.55,5759.0,14.0
2018-05-09 14:35:00,27.0,58.0,68.55,5759.0,14.0
2018-05-09 14:37:00,27.0,59.0,68.71,5753.0,14.0
2018-05-09 14:38:00,27.0,59.0,68.39,5753.0,14.0
2018-05-09 14:39:00,27.0,60.0,68.23,5753.0,14.0
2018-05-09 14:40:00,27.0,61.0,68.39,5753.0,14.0
2018-05-09 14:41:00,27.0,61.0,68.23,5753.0,14.0
2018-05-09 14:43:00,27.0,63.0,68.39,5759.0,14.0
2018-05-09 14:44:00,27.0,64.0,68.39,5765.0,14.0
2018-05-09 14:45:00,27.0,65.0,68.23,5771.0,14.0
2018-05-09 14:46:00,27.0,65.0,68.39,5771.0,14.0
2018-05-09 14:47:00,26.0,68.0,68.39,5771.0,14.0
2018-05-09 14:48:00,26.0,70.0,68.39,5777.0,14.0
2018-05-09 14:49:00,26.0,71.0,68.39,5777.0,14.0
2018-05-09 14:50:00,26.0,72.0,68.39,5782.0,14.0
2018-05-09 14:51:00,26.0,74.0,68.39,5782.0,14.0
2018-05-09 14:52:00,26.0,75.0,73.68,5782.0,14.0
2018-05-09 14:53:00,26.0,76.0,73.04,5788.0,14.0
2018-05-09 14:55:00,26.0,80.0,71.6,5794.0,14.0
2018-05-09 14:56:00,26.0,82.0,70.79,5794.0,14.0
2018-05-09 14:57:00,26.0,82.0,71.28,5794.0,14.0
2018-05-09 14:58:00,26.0,86.0,71.28,5800.0,14.0
2018-05-09 14:59:00,26.0,86.0,71.28,5800.0,14.0
2018-05-09 15:00:00,26.0,86.0,71.12,5800.0,15.0
2018-05-09 15:01:00,26.0,89.0,71.12,5806.0,15.0
2018-05-09 15:02:00,26.0,89.0,71.12,5806.0,15.0
2018-05-09 15:03:00,26.0,89.0,71.12,5806.0,15.0
2018-05-09 15:04:00,26.0,89.0,70.96,5812.0,15.0
2018-05-09 15:05:00,26.0,89.0,70.96,5818.0,15.0
2018-05-09 15:06:00,26.0,89.0,71.12,5812.0,15.0
2018-05-09 15:07:00,26.0,89.0,71.12,5812.0,15.0
2018-05-09 15:08:00,26.0,89.0,70.96,5812.0,15.0
2018-05-09 15:09:00,26.0,89.0,71.12,5818.0,15.0
2018-05-09 15:10:00,26.0,89.0,71.28,5824.0,15.0
2018-05-09 15:11:00,26.0,89.0,70.96,5818.0,15.0
2018-05-09 15:12:00,26.0,89.0,70.96,5818.0,15.0
2018-05-09 15:13:00,26.0,89.0,70.96,5824.0,15.0
2018-05-09 15:14:00,26.0,89.0,70.79,5818.0,15.0
2018-05-09 15:15:00,26.0,89.0,70.79,5818.0,15.0
2018-05-09 15:16:00,26.0,90.0,70.79,5818.0,15.0
2018-05-09 15:17:00,26.0,90.0,70.63,5818.0,15.0
2018-05-09 15:18:00,26.0,92.0,70.63,5824.0,15.0
2018-05-09 15:19:00,26.0,92.0,70.47,5829.0,15.0
2018-05-09 15:20:00,26.0,92.0,70.47,5835.0,15.0
2018-05-09 15:21:00,26.0,92.0,70.63,5835.0,15.0
2018-05-09 15:22:00,26.0,92.0,70.79,5829.0,15.0
2018-05-09 15:23:00,26.0,92.0,70.79,5824.0,15.0
2018-05-09 15:24:00,26.0,92.0,70.79,5824.0,15.0
2018-05-09 15:25:00,26.0,92.0,70.47,5835.0,15.0
2018-05-09 15:26:00,26.0,92.0,70.47,5835.0,15.0
2018-05-09 15:27:00,26.0,92.0,70.47,5829.0,15.0
2018-05-09 15:28:00,26.0,92.0,70.47,5824.0,15.0
2018-05-09 15:29:00,26.0,92.0,70.63,5824.0,15.0
2018-05-09 15:30:00,26.0,92.0,70.47,5829.0,15.0
2018-05-09 15:31:00,26.0,92.0,70.63,5835.0,15.0
2018-05-09 15:32:00,26.0,92.0,70.63,5829.0,15.0
2018-05-09 15:33:00,26.0,92.0,70.63,5829.0,15.0
2018-05-09 15:34:00,26.0,92.0,70.63,5829.0,15.0
2018-05-09 15:35:00,26.0,92.0,70.63,5824.0,15.0
2018-05-09 15:36:00,26.0,92.0,70.79,5812.0,15.0
2018-05-09 15:37:00,26.0,92.0,70.63,5812.0,15.0
2018-05-09 15:38:00,26.0,92.0,70.63,5812.0,15.0
2018-05-09 15:39:00,26.0,92.0,70.47,5806.0,15.0
2018-05-09 15:40:00,26.0,92.0,70.47,5806.0,15.0
2018-05-09 15:41:00,26.0,92.0,70.47,5800.0,15.0
2018-05-09 15:42:00,26.0,92.0,70.31,5800.0,15.0
2018-05-09 15:43:00,26.0,92.0,70.31,5794.0,15.0
2018-05-09 15:44:00,26.0,92.0,70.15,5794.0,15.0
2018-05-09 15:45:00,26.0,92.0,69.99,5794.0,15.0
2018-05-09 15:46:00,26.0,90.0,70.31,5794.0,15.0
2018-05-09 15:47:00,26.0,90.0,70.47,5794.0,15.0
2018-05-09 15:48:00,26.0,92.0,70.31,5782.0,15.0
2018-05-09 15:49:00,26.0,92.0,70.31,5782.0,15.0
2018-05-09 15:50:00,26.0,92.0,70.15,5782.0,15.0
2018-05-09 15:51:00,26.0,92.0,70.15,5782.0,15.0
2018-05-09 15:52:00,26.0,92.0,70.15,5777.0,15.0
2018-05-09 15:53:00,26.0,92.0,69.99,5782.0,15.0
2018-05-09 15:54:00,26.0,92.0,70.15,5782.0,15.0
2018-05-09 15:55:00,26.0,92.0,69.99,5782.0,15.0
2018-05-09 15:56:00,26.0,92.0,70.15,5788.0,15.0
2018-05-09 15:57:00,26.0,92.0,70.15,5794.0,15.0
2018-05-09 15:58:00,26.0,92.0,69.83,5806.0,15.0
2018-05-09 15:59:00,26.0,92.0,69.83,5806.0,15.0
2018-05-09 16:00:00,26.0,92.0,69.99,5777.0,16.0
2018-05-09 16:01:00,26.0,92.0,69.99,5765.0,16.0
2018-05-09 16:02:00,26.0,92.0,69.83,5771.0,16.0
2018-05-09 16:03:00,26.0,92.0,69.99,5782.0,16.0
2018-05-09 16:04:00,26.0,92.0,69.83,5777.0,16.0
2018-05-09 16:05:00,26.0,92.0,69.83,5759.0,16.0
2018-05-09 16:06:00,26.0,92.0,69.83,5759.0,16.0
2018-05-09 16:07:00,26.0,92.0,69.99,5747.0,16.0
2018-05-09 16:08:00,26.0,92.0,69.83,5741.0,16.0
2018-05-09 16:09:00,26.0,92.0,69.83,5741.0,16.0
2018-05-09 16:10:00,26.0,92.0,69.83,5741.0,16.0
2018-05-09 16:11:00,26.0,92.0,69.83,5741.0,16.0
2018-05-09 16:12:00,26.0,92.0,69.83,5736.0,16.0
2018-05-09 16:13:00,26.0,92.0,69.99,5741.0,16.0
2018-05-09 16:14:00,26.0,92.0,70.15,5736.0,16.0
2018-05-09 16:15:00,26.0,92.0,69.83,5736.0,16.0
2018-05-09 16:16:00,26.0,92.0,69.83,5730.0,16.0
2018-05-09 16:17:00,26.0,92.0,69.67,5730.0,16.0
