,TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,INTENSIDAD LUMÍNICA,HORA
2018-05-09 10:25:00,29.0,18.0,62.61,5853.0,10.0
2018-05-09 10:26:00,29.0,18.0,62.61,5853.0,10.0
2018-05-09 10:27:00,29.0,18.0,62.45,5853.0,10.0
2018-05-09 10:28:00,30.0,18.0,62.45,5853.0,10.0
2018-05-09 10:29:00,30.0,18.0,62.45,5859.0,10.0
2018-05-09 10:30:00,30.0,18.0,62.29,5870.0,10.0
2018-05-09 10:31:00,30.0,18.0,62.13,5865.0,10.0
2018-05-09 10:32:00,30.0,18.0,62.29,5859.0,10.0
2018-05-09 10:33:00,30.0,18.0,62.29,5870.0,10.0
2018-05-09 10:34:00,30.0,18.0,62.29,5870.0,10.0
2018-05-09 10:35:00,30.0,18.0,62.13,5870.0,10.0
2018-05-09 10:36:00,30.0,18.0,62.13,5870.0,10.0
2018-05-09 10:37:00,30.0,18.0,62.13,5870.0,10.0
2018-05-09 10:38:00,30.0,18.0,62.13,5870.0,10.0
2018-05-09 10:39:00,31.0,17.0,62.13,5870.0,10.0
2018-05-09 10:40:00,31.0,17.0,61.97,5870.0,10.0
2018-05-09 10:41:00,31.0,17.0,61.97,5870.0,10.0
2018-05-09 10:43:00,31.0,17.0,61.97,5865.0,10.0
2018-05-09 10:44:00,31.0,17.0,61.81,5870.0,10.0
2018-05-09 10:45:00,31.0,17.0,61.97,5870.0,10.0
2018-05-09 10:46:00,31.0,17.0,62.13,5870.0,10.0
2018-05-09 10:47:00,31.0,17.0,61.97,5865.0,10.0
2018-05-09 10:49:00,31.0,17.0,61.97,5865.0,10.0
2018-05-09 10:50:00,32.0,17.0,61.81,5876.0,10.0
2018-05-09 10:51:00,32.0,17.0,62.13,5870.0,10.0
2018-05-09 10:53:00,32.0,17.0,61.97,5876.0,10.0
2018-05-09 10:54:00,32.0,17.0,61.97,5876.0,10.0
2018-05-09 10:55:00,32.0,17.0,61.97,5876.0,10.0
2018-05-09 10:56:00,32.0,17.0,61.97,5865.0,10.0
2018-05-09 10:57:00,32.0,17.0,61.81,5865.0,10.0
2018-05-09 10:58:00,32.0,17.0,61.81,5865.0,10.0
2018-05-09 10:59:00,32.0,17.0,61.97,5865.0,10.0
2018-05-09 11:00:00,32.0,17.0,61.97,5859.0,11.0
2018-05-09 11:01:00,32.0,17.0,61.81,5865.0,11.0
2018-05-09 11:02:00,32.0,17.0,61.81,5865.0,11.0
2018-05-09 11:03:00,32.0,17.0,61.81,5870.0,11.0
2018-05-09 11:04:00,32.0,17.0,61.81,5865.0,11.0
2018-05-09 11:05:00,32.0,17.0,61.81,5865.0,11.0
2018-05-09 11:06:00,32.0,17.0,61.65,5865.0,11.0
2018-05-09 11:07:00,32.0,17.0,61.81,5865.0,11.0
2018-05-09 11:08:00,32.0,17.0,61.97,5865.0,11.0
2018-05-09 11:09:00,32.0,17.0,61.97,5865.0,11.0
2018-05-09 11:10:00,32.0,17.0,61.81,5865.0,11.0
2018-05-09 11:11:00,32.0,17.0,61.81,5870.0,11.0
2018-05-09 11:12:00,32.0,17.0,61.97,5870.0,11.0
2018-05-09 11:13:00,32.0,17.0,61.97,5865.0,11.0
2018-05-09 11:14:00,32.0,17.0,61.97,5859.0,11.0
2018-05-09 11:15:00,32.0,17.0,61.81,5859.0,11.0
2018-05-09 11:16:00,32.0,17.0,61.65,5859.0,11.0
2018-05-09 11:17:00,32.0,17.0,61.65,5859.0,11.0
2018-05-09 11:18:00,31.0,17.0,61.97,5859.0,11.0
2018-05-09 11:19:00,31.0,17.0,61.97,5859.0,11.0
2018-05-09 11:20:00,31.0,17.0,61.97,5859.0,11.0
2018-05-09 11:21:00,31.0,17.0,61.65,5859.0,11.0
2018-05-09 11:22:00,31.0,17.0,61.65,5859.0,11.0
2018-05-09 11:23:00,31.0,17.0,61.81,5859.0,11.0
2018-05-09 11:24:00,31.0,17.0,61.65,5859.0,11.0
2018-05-09 11:25:00,31.0,17.0,61.65,5859.0,11.0
2018-05-09 11:26:00,31.0,17.0,61.65,5859.0,11.0
2018-05-09 11:27:00,31.0,17.0,61.81,5865.0,11.0
2018-05-09 11:28:00,31.0,17.0,61.65,5865.0,11.0
2018-05-09 11:29:00,31.0,17.0,61.81,5865.0,11.0
2018-05-09 11:30:00,31.0,17.0,61.97,5865.0,11.0
2018-05-09 11:31:00,31.0,17.0,61.65,5865.0,11.0
2018-05-09 11:32:00,31.0,17.0,61.65,5865.0,11.0
2018-05-09 11:33:00,31.0,17.0,61.81,5865.0,11.0
2018-05-09 11:34:00,31.0,17.0,61.81,5865.0,11.0
2018-05-09 11:35:00,31.0,17.0,61.81,5865.0,11.0
2018-05-09 11:36:00,31.0,17.0,61.97,5865.0,11.0
2018-05-09 11:37:00,31.0,17.0,61.97,5865.0,11.0
2018-05-09 11:38:00,31.0,17.0,61.81,5865.0,11.0
2018-05-09 11:39:00,31.0,17.0,61.81,5870.0,11.0
2018-05-09 11:40:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:41:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:42:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:43:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:44:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:45:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:46:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:47:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:48:00,30.0,18.0,61.81,5876.0,11.0
2018-05-09 11:49:00,30.0,18.0,61.81,5882.0,11.0
2018-05-09 11:50:00,30.0,18.0,61.81,5882.0,11.0
2018-05-09 11:51:00,30.0,18.0,61.65,5882.0,11.0
2018-05-09 11:52:00,30.0,18.0,61.65,5882.0,11.0
2018-05-09 11:53:00,30.0,18.0,61.65,5876.0,11.0
2018-05-09 11:54:00,30.0,18.0,61.65,5876.0,11.0
2018-05-09 11:55:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:56:00,30.0,18.0,61.65,5870.0,11.0
2018-05-09 11:57:00,30.0,18.0,61.65,5876.0,11.0
2018-05-09 11:58:00,30.0,18.0,61.65,5882.0,11.0
2018-05-09 11:59:00,30.0,18.0,61.65,5882.0,11.0
2018-05-09 12:00:00,30.0,18.0,61.49,5882.0,12.0
2018-05-09 12:01:00,30.0,18.0,61.49,5888.0,12.0
2018-05-09 12:02:00,31.0,17.0,61.49,5882.0,12.0
2018-05-09 12:03:00,31.0,17.0,61.49,5888.0,12.0
2018-05-09 12:04:00,31.0,17.0,61.49,5876.0,12.0
2018-05-09 12:05:00,30.0,18.0,61.65,5876.0,12.0
2018-05-09 12:06:00,30.0,18.0,61.65,5876.0,12.0
2018-05-09 12:07:00,30.0,18.0,61.81,5876.0,12.0
2018-05-09 12:08:00,30.0,18.0,61.49,5882.0,12.0
2018-05-09 12:09:00,30.0,18.0,61.81,5882.0,12.0
2018-05-09 12:10:00,30.0,18.0,61.81,5882.0,12.0
2018-05-09 12:11:00,30.0,18.0,61.81,5888.0,12.0
2018-05-09 12:12:00,30.0,18.0,61.81,5888.0,12.0
2018-05-09 12:13:00,31.0,17.0,61.65,5894.0,12.0
2018-05-09 12:14:00,32.0,17.0,61.65,5900.0,12.0
2018-05-09 12:15:00,33.0,16.0,61.81,5900.0,12.0
2018-05-09 12:16:00,34.0,16.0,61.65,5882.0,12.0
2018-05-09 12:17:00,33.0,16.0,61.81,5888.0,12.0
2018-05-09 12:18:00,32.0,17.0,61.81,5888.0,12.0
2018-05-09 12:19:00,33.0,16.0,61.81,5894.0,12.0
2018-05-09 12:20:00,32.0,17.0,61.65,5894.0,12.0
2018-05-09 12:21:00,32.0,17.0,61.49,5882.0,12.0
