,HORA,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,TEMPERATURA
2018-05-09 10:25:00,10.0,60.2,59.0,5806.0,29.0
2018-05-09 10:26:00,10.0,60.04,58.0,5806.0,29.0
2018-05-09 10:27:00,10.0,59.72,58.0,5841.0,29.0
2018-05-09 10:28:00,10.0,59.72,58.0,5806.0,29.0
2018-05-09 10:29:00,10.0,59.4,57.0,5818.0,30.0
2018-05-09 10:30:00,10.0,59.24,56.0,5829.0,30.0
2018-05-09 10:31:00,10.0,59.08,55.0,5841.0,30.0
2018-05-09 10:32:00,10.0,59.08,54.0,5829.0,30.0
2018-05-09 10:33:00,10.0,59.08,54.0,5841.0,30.0
2018-05-09 10:34:00,10.0,58.92,54.0,5841.0,30.0
2018-05-09 10:35:00,10.0,58.92,53.0,5835.0,30.0
2018-05-09 10:36:00,10.0,58.92,51.0,5835.0,30.0
2018-05-09 10:37:00,10.0,58.76,49.0,5835.0,30.0
2018-05-09 10:38:00,10.0,58.76,47.0,5835.0,30.0
2018-05-09 10:39:00,10.0,58.44,47.0,5835.0,30.0
2018-05-09 10:40:00,10.0,58.44,44.0,5835.0,31.0
2018-05-09 10:41:00,10.0,58.44,44.0,5835.0,31.0
2018-05-09 10:42:00,10.0,58.28,43.0,5835.0,31.0
2018-05-09 10:43:00,10.0,58.28,42.0,5835.0,31.0
2018-05-09 10:44:00,10.0,58.28,42.0,5835.0,31.0
2018-05-09 10:45:00,10.0,58.12,43.0,5835.0,31.0
2018-05-09 10:46:00,10.0,57.95,43.0,5829.0,31.0
2018-05-09 10:47:00,10.0,57.95,43.0,5829.0,31.0
2018-05-09 10:48:00,10.0,57.95,43.0,5829.0,31.0
2018-05-09 10:49:00,10.0,57.95,42.0,5835.0,31.0
2018-05-09 10:50:00,10.0,57.95,42.0,5841.0,31.0
2018-05-09 10:51:00,10.0,57.95,42.0,5835.0,32.0
2018-05-09 10:52:00,10.0,57.95,42.0,5835.0,32.0
2018-05-09 10:53:00,10.0,57.79,43.0,5835.0,32.0
2018-05-09 10:54:00,10.0,57.79,43.0,5835.0,32.0
2018-05-09 10:55:00,10.0,57.63,43.0,5841.0,32.0
2018-05-09 10:56:00,10.0,57.63,43.0,5841.0,32.0
2018-05-09 10:57:00,10.0,57.79,42.0,5818.0,32.0
2018-05-09 10:58:00,10.0,57.95,41.0,5818.0,32.0
2018-05-09 10:59:00,10.0,57.95,40.0,5818.0,32.0
2018-05-09 11:00:00,11.0,57.95,39.0,5818.0,32.0
2018-05-09 11:01:00,11.0,58.12,40.0,5818.0,32.0
2018-05-09 11:02:00,11.0,58.12,39.0,5818.0,31.0
2018-05-09 11:03:00,11.0,57.95,36.0,5824.0,31.0
2018-05-09 11:04:00,11.0,58.28,36.0,5824.0,32.0
2018-05-09 11:05:00,11.0,58.12,36.0,5818.0,32.0
2018-05-09 11:06:00,11.0,58.12,36.0,5818.0,31.0
2018-05-09 11:07:00,11.0,58.28,36.0,5818.0,31.0
2018-05-09 11:08:00,11.0,58.12,36.0,5818.0,31.0
2018-05-09 11:09:00,11.0,58.28,36.0,5818.0,31.0
2018-05-09 11:10:00,11.0,58.28,36.0,5824.0,31.0
2018-05-09 11:11:00,11.0,58.6,36.0,5824.0,31.0
2018-05-09 11:12:00,11.0,58.28,35.0,5824.0,31.0
2018-05-09 11:13:00,11.0,58.12,36.0,5818.0,31.0
2018-05-09 11:14:00,11.0,58.12,36.0,5812.0,32.0
2018-05-09 11:15:00,11.0,58.28,36.0,5812.0,32.0
2018-05-09 11:16:00,11.0,58.44,36.0,5812.0,31.0
2018-05-09 11:17:00,11.0,58.6,36.0,5812.0,31.0
2018-05-09 11:18:00,11.0,58.44,36.0,5806.0,31.0
2018-05-09 11:19:00,11.0,58.28,35.0,5806.0,31.0
2018-05-09 11:20:00,11.0,58.12,35.0,5806.0,31.0
2018-05-09 11:21:00,11.0,57.95,34.0,5806.0,31.0
2018-05-09 11:22:00,11.0,57.95,34.0,5806.0,31.0
2018-05-09 11:23:00,11.0,58.12,36.0,5812.0,31.0
2018-05-09 11:24:00,11.0,58.44,36.0,5812.0,31.0
2018-05-09 11:25:00,11.0,58.28,36.0,5812.0,31.0
2018-05-09 11:26:00,11.0,58.6,35.0,5812.0,31.0
2018-05-09 11:27:00,11.0,58.6,35.0,5812.0,31.0
2018-05-09 11:28:00,11.0,58.76,35.0,5812.0,31.0
2018-05-09 11:29:00,11.0,59.4,36.0,5812.0,31.0
2018-05-09 11:30:00,11.0,59.4,36.0,5812.0,31.0
2018-05-09 11:31:00,11.0,59.4,35.0,5812.0,31.0
2018-05-09 11:32:00,11.0,59.72,35.0,5812.0,31.0
2018-05-09 11:33:00,11.0,59.72,34.0,5812.0,31.0
2018-05-09 11:34:00,11.0,60.36,35.0,5812.0,31.0
2018-05-09 11:35:00,11.0,60.68,35.0,5812.0,31.0
2018-05-09 11:36:00,11.0,60.52,35.0,5812.0,31.0
2018-05-09 11:37:00,11.0,60.52,35.0,5812.0,31.0
2018-05-09 11:38:00,11.0,60.52,36.0,5818.0,31.0
2018-05-09 11:39:00,11.0,60.52,36.0,5818.0,31.0
2018-05-09 11:40:00,11.0,60.36,39.0,5818.0,31.0
2018-05-09 11:41:00,11.0,60.52,42.0,5818.0,30.0
2018-05-09 11:42:00,11.0,60.68,43.0,5818.0,30.0
2018-05-09 11:43:00,11.0,60.84,43.0,5818.0,30.0
2018-05-09 11:44:00,11.0,60.84,44.0,5818.0,30.0
2018-05-09 11:45:00,11.0,60.84,45.0,5818.0,30.0
2018-05-09 11:46:00,11.0,61.0,45.0,5824.0,30.0
2018-05-09 11:47:00,11.0,61.16,45.0,5824.0,30.0
2018-05-09 11:48:00,11.0,61.16,45.0,5824.0,30.0
2018-05-09 11:49:00,11.0,61.33,46.0,5841.0,30.0
2018-05-09 11:50:00,11.0,61.33,46.0,5841.0,30.0
2018-05-09 11:51:00,11.0,61.33,46.0,5835.0,30.0
2018-05-09 11:52:00,11.0,61.49,46.0,5829.0,30.0
2018-05-09 11:53:00,11.0,61.33,45.0,5824.0,30.0
2018-05-09 11:54:00,11.0,61.49,45.0,5824.0,30.0
2018-05-09 11:55:00,11.0,61.49,46.0,5818.0,30.0
2018-05-09 11:56:00,11.0,61.49,46.0,5818.0,30.0
2018-05-09 11:57:00,11.0,61.97,46.0,5824.0,30.0
2018-05-09 11:58:00,11.0,61.97,46.0,5824.0,30.0
2018-05-09 11:59:00,11.0,61.97,46.0,5835.0,30.0
2018-05-09 12:00:00,12.0,62.13,46.0,5841.0,30.0
2018-05-09 12:01:00,12.0,62.29,46.0,5841.0,30.0
2018-05-09 12:02:00,12.0,62.45,45.0,5841.0,31.0
2018-05-09 12:03:00,12.0,62.61,45.0,5847.0,31.0
2018-05-09 12:04:00,12.0,62.61,45.0,5835.0,31.0
2018-05-09 12:05:00,12.0,62.61,45.0,5829.0,31.0
2018-05-09 12:06:00,12.0,62.61,45.0,5829.0,31.0
2018-05-09 12:07:00,12.0,62.77,45.0,5824.0,30.0
2018-05-09 12:08:00,12.0,62.77,45.0,5829.0,30.0
2018-05-09 12:09:00,12.0,62.93,46.0,5835.0,30.0
