"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","TIME"
"98","2","32","17","61.81","0","5865","2018-05-09 10:58:00"
"99","5","33","38","57.47","0","5829","2018-05-09 10:59:00"
"100","2","32","17","61.97","0","5865","2018-05-09 10:59:00"
"101","5","32","38","57.79","0","5824","2018-05-09 11:00:00"
"102","2","32","17","61.97","0","5859","2018-05-09 11:00:00"
"103","5","32","39","57.95","0","5824","2018-05-09 11:01:00"
"104","2","32","17","61.81","0","5865","2018-05-09 11:01:00"
"105","5","32","39","58.28","0","5829","2018-05-09 11:02:00"
"106","2","32","17","61.81","0","5865","2018-05-09 11:02:00"
"107","5","32","36","58.6","0","5835","2018-05-09 11:03:00"
"108","2","32","17","61.81","0","5870","2018-05-09 11:03:00"
"109","5","32","38","59.08","0","5829","2018-05-09 11:04:00"
"110","2","32","17","61.81","0","5865","2018-05-09 11:04:00"
"111","5","32","38","59.08","0","5829","2018-05-09 11:05:00"
"112","2","32","17","61.81","0","5865","2018-05-09 11:05:00"
"113","5","32","36","59.4","0","5829","2018-05-09 11:06:00"
"114","2","32","17","61.65","0","5865","2018-05-09 11:06:00"
"115","5","32","36","59.72","0","5829","2018-05-09 11:07:00"
"116","2","32","17","61.81","0","5865","2018-05-09 11:07:00"
"117","5","32","37","60.36","0","5829","2018-05-09 11:08:00"
"118","2","32","17","61.97","0","5865","2018-05-09 11:08:00"
"119","5","31","37","60.04","0","5829","2018-05-09 11:09:00"
"120","2","32","17","61.97","0","5865","2018-05-09 11:09:00"
"121","5","31","36","60.2","0","5829","2018-05-09 11:10:00"
"122","2","32","17","61.81","0","5865","2018-05-09 11:10:00"
"123","5","32","36","60.84","0","5835","2018-05-09 11:11:00"
"124","2","32","17","61.81","0","5870","2018-05-09 11:11:00"
"125","5","32","37","60.52","0","5829","2018-05-09 11:12:00"
"126","2","32","17","61.97","0","5870","2018-05-09 11:12:00"
"127","5","32","38","60.36","0","5824","2018-05-09 11:13:00"
"128","2","32","17","61.97","0","5865","2018-05-09 11:13:00"
"129","5","32","38","60.68","0","5818","2018-05-09 11:14:00"
"130","2","32","17","61.97","0","5859","2018-05-09 11:14:00"
"131","5","31","36","60.68","0","5818","2018-05-09 11:15:00"
"132","2","32","17","61.81","0","5859","2018-05-09 11:15:00"
"133","5","31","36","61.33","0","5812","2018-05-09 11:16:00"
"134","2","32","17","61.65","0","5859","2018-05-09 11:16:00"
"135","5","31","39","61.16","0","5812","2018-05-09 11:17:00"
"136","2","32","17","61.65","0","5859","2018-05-09 11:17:00"
"137","5","31","37","61.16","0","5812","2018-05-09 11:18:00"
"138","2","31","17","61.97","0","5859","2018-05-09 11:18:00"
